Year,Circuit,Pos,Points,Number,Rider,Nation,Team,Motorcycle,Total Time,Km/h
2009,VAL,1,25,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,46:47:553,154.062
2009,VAL,2,20,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,46:50:183,153.918
2009,VAL,3,16,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,46:50:466,153.903
2009,VAL,4,13,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,47:20:068,152.299
2009,VAL,5,11,69,Nicky HAYDEN,USA,Ducati,Marlboro Team DUCATI,47:22:138,152.188
2009,VAL,6,10,24,Toni ELIAS,SPA,San,Carlo Honda Gresini HONDA,47:22:441,152.172
2009,VAL,7,9,11,Ben SPIES,USA,Sterilgarda,Yamaha Team YAMAHA,47:25:259,152.021
2009,VAL,8,8,4,Andrea DOVIZIOSO,ITA,Repsol,Honda Team HONDA,47:25:917,151.986
2009,VAL,9,7,36,Mika KALLIO,FIN,Pramac,Racing DUCATI,47:30:044,151.766
2009,VAL,10,6,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,47:31:242,151.702
2009,VAL,11,5,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,47:33:571,151.578
2009,VAL,12,4,52,James TOSELAND,GBR,Monster Yamaha Tech 3,YAMAHA,47:37:779,151.355
2009,VAL,13,3,44,Aleix ESPARGARO,SPA,Pramac,Racing DUCATI,47:44:721,150.988
2009,VAL,14,2,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,47:54:430,150.478
2009,VAL,15,1,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,47:59:254,150.226
2009,JPN,1,25,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,43:47:238,157.886
2009,JPN,2,20,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,43:48:542,157.808
2009,JPN,3,16,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,43:51:001,157.661
2009,JPN,4,13,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,43:52:929,157.545
2009,JPN,5,11,4,Andrea DOVIZIOSO,ITA,Repsol,Honda Team HONDA,43:56:445,157.335
2009,JPN,6,10,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,44:17:793,156.071
2009,JPN,7,9,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,44:19:994,155.942
2009,JPN,8,8,36,Mika KALLIO,FIN,Pramac,Racing DUCATI,44:26:654,155.553
2009,JPN,9,7,52,James TOSELAND,GBR,Monster Yamaha Tech 3,YAMAHA,44:30:344,155.338
2009,JPN,10,6,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,44:30:483,155.33
2009,JPN,11,5,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,44:32:072,155.237
2009,JPN,12,4,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,44:33:778,155.138
2009,JPN,13,3,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,44:40:763,154.734
2009,JPN,14,2,88,Niccolo CANEPA,ITA,Pramac,Racing DUCATI,45:09:042,153.119
2009,JPN,15,1,24,Toni ELIAS,SPA,San,Carlo Honda Gresini HONDA,44:25:681,149.126
2009,ITA,1,25,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,45:41:894,158.389
2009,ITA,2,20,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,45:42:895,158.331
2009,ITA,3,16,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,45:43:970,158.269
2009,ITA,4,13,4,Andrea DOVIZIOSO,ITA,Repsol,Honda Team HONDA,45:44:023,158.266
2009,ITA,5,11,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,45:45:168,158.2
2009,ITA,6,10,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,46:06:345,156.989
2009,ITA,7,9,52,James TOSELAND,GBR,Monster Yamaha Tech 3,YAMAHA,46:07:515,156.922
2009,ITA,8,8,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,46:07:940,156.898
2009,ITA,9,7,88,Niccolo CANEPA,ITA,Pramac,Racing DUCATI,46:13:709,156.572
2009,ITA,10,6,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,46:16:708,156.403
2009,ITA,11,5,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,46:16:984,156.387
2009,ITA,12,4,69,Nicky HAYDEN,USA,Ducati,Marlboro Team DUCATI,46:21:016,156.16
2009,ITA,13,3,36,Mika KALLIO,FIN,Pramac,Racing DUCATI,46:34:356,155.415
2009,ITA,14,2,24,Toni ELIAS,SPA,San,Carlo Honda Gresini HONDA,46:34:372,155.414
2009,ITA,15,1,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,46:03:967,150.292
2009,USA,1,25,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,44:01:580,157.433
2009,USA,2,20,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,44:01:924,157.412
2009,USA,3,16,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,44:03:506,157.318
2009,USA,4,13,27,Casey STONER,AUS,Ducati,Team DUCATI,44:14:012,156.695
2009,USA,5,11,69,Nicky HAYDEN,USA,Ducati,Team DUCATI,44:23:243,156.152
2009,USA,6,10,24,Toni ELIAS,SPA,San,Carlo Honda Gresini HONDA,44:23:621,156.13
2009,USA,7,9,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,44:31:781,155.653
2009,USA,8,8,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,44:34:437,155.498
2009,USA,9,7,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,44:41:905,155.065
2009,USA,10,6,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,44:49:608,154.621
2009,USA,11,5,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,44:50:390,154.576
2009,USA,12,4,88,Niccolo CANEPA,ITA,Pramac,Racing DUCATI,45:20:111,152.887
2009,QAT,1,25,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,42:53:984,165.539
2009,QAT,2,20,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,43:01:755,165.041
2009,QAT,3,16,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,43:10:228,164.501
2009,QAT,4,13,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,43:18:394,163.984
2009,QAT,5,11,4,Andrea DOVIZIOSO,ITA,Repsol,Honda Team HONDA,43:21:247,163.804
2009,QAT,6,10,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,43:23:867,163.639
2009,QAT,7,9,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,43:27:611,163.404
2009,QAT,8,8,36,Mika KALLIO,FIN,Pramac,Racing DUCATI,43:28:739,163.334
2009,QAT,9,7,24,Toni ELIAS,SPA,San,Carlo Honda Gresini HONDA,43:33:465,163.038
2009,QAT,10,6,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,43:36:268,162.864
2009,QAT,11,5,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,43:42:510,162.476
2009,QAT,12,4,69,Nicky HAYDEN,USA,Ducati,Marlboro Team DUCATI,43:42:867,162.454
2009,QAT,13,3,59,Sete GIBERNAU,SPA,Grupo,Francisco Hernando DUCATI,43:46:199,162.248
2009,QAT,14,2,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,43:50:363,161.991
2009,QAT,15,1,72,Yuki TAKAHASHI,JPN,Scot,Racing Team MotoGP HONDA,43:54:270,161.751
2009,CAT,1,25,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,43:11:897,164.138
2009,CAT,2,20,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,43:11:992,164.132
2009,CAT,3,16,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,43:20:781,163.577
2009,CAT,4,13,4,Andrea DOVIZIOSO,ITA,Repsol,Honda Team HONDA,43:20:833,163.574
2009,CAT,5,11,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,43:31:728,162.892
2009,CAT,6,10,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,43:34:079,162.745
2009,CAT,7,9,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,43:35:444,162.66
2009,CAT,8,8,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,43:37:162,162.553
2009,CAT,9,7,36,Mika KALLIO,FIN,Pramac,Racing DUCATI,43:43:694,162.149
2009,CAT,10,6,69,Nicky HAYDEN,USA,Ducati,Marlboro Team DUCATI,43:45:490,162.038
2009,CAT,11,5,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,43:48:580,161.847
2009,CAT,12,4,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,43:48:771,161.836
2009,CAT,13,3,52,James TOSELAND,GBR,Monster Yamaha Tech 3,YAMAHA,43:51:330,161.678
2009,CAT,14,2,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,43:56:685,161.35
2009,CAT,15,1,59,Sete GIBERNAU,SPA,Grupo,Francisco Hernando DUCATI,43:58:651,161.23
2009,NED,1,25,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,42:14:611,168.21
2009,NED,2,20,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,42:19:979,167.854
2009,NED,3,16,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,42:37:724,166.69
2009,NED,4,13,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,42:43:725,166.3
2009,NED,5,11,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,42:48:216,166.009
2009,NED,6,10,52,James TOSELAND,GBR,Monster Yamaha Tech 3,YAMAHA,42:53:958,165.639
2009,NED,7,9,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,42:54:154,165.626
2009,NED,8,8,69,Nicky HAYDEN,USA,Ducati,Marlboro Team DUCATI,42:54:434,165.608
2009,NED,9,7,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,42:55:284,165.553
2009,NED,10,6,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,43:00:621,165.211
2009,NED,11,5,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,43:12:388,164.461
2009,NED,12,4,24,Toni ELIAS,SPA,San,Carlo Honda Gresini HONDA,43:14:385,165.611
2009,NED,13,3,59,Sete GIBERNAU,SPA,Grupo,Francisco Hernando DUCATI,43:19:977,163.981
2009,NED,14,2,88,Niccolo CANEPA,ITA,Pramac,Racing DUCATI,43:24:508,163.696
2009,NED,15,1,72,Yuki TAKAHASHI,JPN,Scot,Racing Team MotoGP HONDA,43:24:541,163.694
2009,POR,1,25,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,45:35:522,154.1
2009,POR,2,20,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,45:41:816,153.746
2009,POR,3,16,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,45:45:411,153.545
2009,POR,4,13,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,45:58:950,152.792
2009,POR,5,11,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,46:08:174,152.282
2009,POR,6,10,24,Toni ELIAS,SPA,San,Carlo Honda Gresini HONDA,46:11:231,152.114
2009,POR,7,9,4,Andrea DOVIZIOSO,ITA,Repsol,Honda Team HONDA,46:11:245,152.114
2009,POR,8,8,69,Nicky HAYDEN,USA,Ducati,Marlboro Team DUCATI,46:14:352,151.943
2009,POR,9,7,52,James TOSELAND,GBR,Monster Yamaha Tech 3,YAMAHA,46:19:615,151.656
2009,POR,10,6,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,46:28:385,151.179
2009,POR,11,5,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,46:31:220,151.025
2009,POR,12,4,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,46:40:037,150.55
2009,POR,13,3,88,Niccolo CANEPA,ITA,Pramac,Racing DUCATI,46:40:060,150.548
2009,POR,14,2,41,Gabor TALMACSI,HUN,Scot,Racing Team MotoGP HONDA,47:02:821,149.334
2009,GER,1,25,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,41:21:769,159.752
2009,GER,2,20,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,41:21:868,159.745
2009,GER,3,16,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:24:668,159.565
2009,GER,4,13,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,41:31:995,159.096
2009,GER,5,11,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,41:43:291,158.378
2009,GER,6,10,24,Toni ELIAS,SPA,San,Carlo Honda Gresini HONDA,41:52:621,157.79
2009,GER,7,9,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,41:53:070,157.762
2009,GER,8,8,69,Nicky HAYDEN,USA,Ducati,Marlboro Team DUCATI,41:53:495,157.735
2009,GER,9,7,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,41:54:634,157.664
2009,GER,10,6,52,James TOSELAND,GBR,Monster Yamaha Tech 3,YAMAHA,42:05:695,156.973
2009,GER,11,5,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,42:19:144,156.142
2009,GER,12,4,88,Niccolo CANEPA,ITA,Pramac,Racing DUCATI,42:22:308,155.948
2009,GER,13,3,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,42:25:414,155.757
2009,GER,14,2,36,Mika KALLIO,FIN,Pramac,Racing DUCATI,42:25:924,155.726
2009,GER,15,1,41,Gabor TALMACSI,HUN,Scot,Racing Team MotoGP HONDA,41:22:338,154.391
2009,FRA,1,25,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,47:52:678,146.848
2009,FRA,2,20,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,48:10:388,145.948
2009,FRA,3,16,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,48:12:571,145.838
2009,FRA,4,13,4,Andrea DOVIZIOSO,ITA,Repsol,Honda Team HONDA,48:13:133,145.81
2009,FRA,5,11,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,48:23:217,145.303
2009,FRA,6,10,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,48:30:140,144.957
2009,FRA,7,9,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,48:32:869,144.822
2009,FRA,8,8,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,48:38:099,144.562
2009,FRA,9,7,52,James TOSELAND,GBR,Monster Yamaha Tech 3,YAMAHA,48:42:985,144.32
2009,FRA,10,6,24,Toni ELIAS,SPA,San,Carlo Honda Gresini HONDA,48:45:896,144.177
2009,FRA,11,5,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,48:46:228,144.161
2009,FRA,12,4,69,Nicky HAYDEN,USA,Ducati,Marlboro Team DUCATI,48:49:325,144.008
2009,FRA,13,3,72,Yuki TAKAHASHI,JPN,Scot,Racing Team MotoGP HONDA,48:49:366,144.006
2009,FRA,14,2,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,49:03:977,143.291
2009,FRA,15,1,88,Niccolo CANEPA,ITA,Pramac,Racing DUCATI,49:08:063,143.093
2009,GBR,1,25,4,Andrea DOVIZIOSO,ITA,Repsol,Honda Team HONDA,48:26:267,149.498
2009,GBR,2,20,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,48:27:627,149.429
2009,GBR,3,16,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,48:27:867,149.416
2009,GBR,4,13,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,48:35:225,149.039
2009,GBR,5,11,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,48:47:889,148.394
2009,GBR,6,10,52,James TOSELAND,GBR,Monster Yamaha Tech 3,YAMAHA,48:48:732,148.352
2009,GBR,7,9,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,49:01:551,147.705
2009,GBR,8,8,88,Niccolo CANEPA,ITA,Pramac,Racing DUCATI,49:05:036,147.53
2009,GBR,9,7,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,49:08:379,147.363
2009,GBR,10,6,36,Mika KALLIO,FIN,Pramac,Racing DUCATI,49:12:112,147.177
2009,GBR,11,5,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,49:19:457,146.812
2009,GBR,12,4,41,Gabor TALMACSI,HUN,Scot,Racing Team MotoGP HONDA,49:38:582,145.869
2009,GBR,13,3,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,49:46:665,145.474
2009,GBR,14,2,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,49:25:241,141.641
2009,GBR,15,1,69,Nicky HAYDEN,USA,Ducati,Marlboro Team DUCATI,49:43:835,140.758
2009,AUS,1,25,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,40:56:651,175.989
2009,AUS,2,20,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,40:58:586,175.851
2009,AUS,3,16,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:19:269,174.384
2009,AUS,4,13,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,41:29:353,173.677
2009,AUS,5,11,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,41:32:536,173.456
2009,AUS,6,10,4,Andrea DOVIZIOSO,ITA,Repsol,Honda Team HONDA,41:35:133,173.275
2009,AUS,7,9,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,41:41:112,172.861
2009,AUS,8,8,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,41:41:592,172.828
2009,AUS,9,7,36,Mika KALLIO,FIN,Pramac,Racing DUCATI,41:50:996,172.18
2009,AUS,10,6,24,Toni ELIAS,SPA,San,Carlo Honda Gresini HONDA,41:57:856,171.711
2009,AUS,11,5,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,42:02:068,171.425
2009,AUS,12,4,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,42:02:601,171.388
2009,AUS,13,3,41,Gabor TALMACSI,HUN,Scot,Racing Team MotoGP HONDA,42:14:602,170.577
2009,AUS,14,2,52,James TOSELAND,GBR,Monster Yamaha Tech 3,YAMAHA,42:14:636,170.575
2009,AUS,15,1,69,Nicky HAYDEN,USA,Ducati,Marlboro Team DUCATI,41:27:127,167.395
2009,MAL,1,25,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,47:24:834,147.435
2009,MAL,2,20,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,47:39:500,146.679
2009,MAL,3,16,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,47:44:219,146.437
2009,MAL,4,13,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,47:50:684,146.107
2009,MAL,5,11,69,Nicky HAYDEN,USA,Ducati,Marlboro Team DUCATI,48:03:539,145.456
2009,MAL,6,10,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,48:05:895,145.337
2009,MAL,7,9,24,Toni ELIAS,SPA,San,Carlo Honda Gresini HONDA,48:13:389,144.961
2009,MAL,8,8,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,48:20:391,144.611
2009,MAL,9,7,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,48:25:137,144.374
2009,MAL,10,6,36,Mika KALLIO,FIN,Pramac,Racing DUCATI,48:25:274,144.368
2009,MAL,11,5,44,Aleix ESPARGARO,SPA,Pramac,Racing DUCATI,48:26:489,144.307
2009,MAL,12,4,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,48:26:681,144.298
2009,MAL,13,3,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,48:35:612,143.856
2009,MAL,14,2,41,Gabor TALMACSI,HUN,Scot,Racing Team MotoGP HONDA,48:40:685,143.606
2009,MAL,15,1,52,James TOSELAND,GBR,Monster Yamaha Tech 3,YAMAHA,49:15:506,141.914
2007,VAL,1,25,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,46:43:533,154.283
2007,VAL,2,20,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,46:48:980,153.984
2007,VAL,3,16,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,47:03:937,153.169
2007,VAL,4,13,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,47:08:360,152.929
2007,VAL,5,11,65,Loris CAPIROSSI,ITA,Ducati,Marlboro Team DUCATI,47:09:337,152.876
2007,VAL,6,10,71,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,47:09:395,152.873
2007,VAL,7,9,4,Alex BARROS,BRA,Pramac,d'Antin DUCATI,47:13:003,152.678
2007,VAL,8,8,1,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,47:13:866,152.632
2007,VAL,9,7,14,Randy DE PUNIET,FRA,Kawasaki,Racing Team KAWASAKI,47:14:428,152.602
2007,VAL,10,6,24,Toni ELIAS,SPA,Honda,Gresini HONDA,47:14:563,152.594
2007,VAL,11,5,50,Sylvain GUINTOLI,FRA,Dunlop Yamaha Tech 3,YAMAHA,47:22:296,152.179
2007,VAL,12,4,7,Carlos CHECA,SPA,Honda,LCR HONDA,47:26:039,151.979
2007,VAL,13,3,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,47:30:105,151.762
2007,VAL,14,2,56,Shinya NAKANO,JPN,Konica,Minolta Honda HONDA,47:33:753,151.568
2007,VAL,15,1,6,Makoto TAMADA,JPN,Dunlop Yamaha Tech 3,YAMAHA,47:40:412,151.215
2007,JPN,1,25,65,Loris CAPIROSSI,ITA,Ducati,Marlboro Team DUCATI,47:05:484,146.808
2007,JPN,2,20,14,Randy DE PUNIET,FRA,Kawasaki,Racing Team KAWASAKI,47:16:337,146.247
2007,JPN,3,16,24,Toni ELIAS,SPA,Honda,Gresini HONDA,47:17:010,146.212
2007,JPN,4,13,50,Sylvain GUINTOLI,FRA,Dunlop Yamaha Tech 3,YAMAHA,47:17:676,146.178
2007,JPN,5,11,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,47:34:053,145.339
2007,JPN,6,10,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,47:36:663,145.206
2007,JPN,7,9,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,47:55:485,144.256
2007,JPN,8,8,4,Alex BARROS,BRA,Pramac,d'Antin DUCATI,47:57:827,144.138
2007,JPN,9,7,1,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,47:59:113,144.074
2007,JPN,10,6,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,48:05:199,143.77
2007,JPN,11,5,71,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,48:08:288,143.616
2007,JPN,12,4,6,Makoto TAMADA,JPN,Dunlop Yamaha Tech 3,YAMAHA,48:14:797,143.293
2007,JPN,13,3,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,48:15:183,143.274
2007,JPN,14,2,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,48:17:219,143.173
2007,JPN,15,1,72,Shinichi ITO,JPN,Pramac,d'Antin DUCATI,48:17:774,143.146
2007,ITA,1,25,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,42:42:385,169.485
2007,ITA,2,20,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,42:45:459,169.281
2007,ITA,3,16,4,Alex BARROS,BRA,Pramac,d'Antin DUCATI,42:48:341,169.092
2007,ITA,4,13,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,42:48:397,169.088
2007,ITA,5,11,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,42:55:629,168.613
2007,ITA,6,10,24,Toni ELIAS,SPA,Honda,Gresini HONDA,43:01:640,168.22
2007,ITA,7,9,65,Loris CAPIROSSI,ITA,Ducati,Marlboro Team DUCATI,43:02:031,168.195
2007,ITA,8,8,71,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,43:05:195,167.989
2007,ITA,9,7,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,43:05:222,167.987
2007,ITA,10,6,1,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,43:06:798,167.885
2007,ITA,11,5,66,Alex HOFMANN,GER,Pramac,d'Antin DUCATI,43:07:166,167.861
2007,ITA,12,4,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,43:10:386,167.653
2007,ITA,13,3,56,Shinya NAKANO,JPN,Konica,Minolta Honda HONDA,43:19:118,167.089
2007,ITA,14,2,50,Sylvain GUINTOLI,FRA,Dunlop Yamaha Tech 3,YAMAHA,43:27:483,166.553
2007,ITA,15,1,6,Makoto TAMADA,JPN,Dunlop Yamaha Tech 3,YAMAHA,43:27:530,166.55
2007,USA,1,25,27,Casey STONER,AUS,Ducati,Team DUCATI,44:20:325,156.323
2007,USA,2,20,71,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,44:30:190,155.746
2007,USA,3,16,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,44:45:966,154.831
2007,USA,4,13,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,44:50:989,154.542
2007,USA,5,11,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,44:55:947,154.258
2007,USA,6,10,14,Randy DE PUNIET,FRA,Kawasaki,Racing Team KAWASAKI,44:58:631,154.104
2007,USA,7,9,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,45:01:747,153.927
2007,USA,8,8,6,Makoto TAMADA,JPN,Dunlop Yamaha Tech 3,YAMAHA,45:02:680,153.873
2007,USA,9,7,4,Alex BARROS,BRA,Pramac,d'Antin DUCATI,45:03:845,153.807
2007,USA,10,6,95,Roger Lee HAYDEN,USA,Kawasaki,Racing Team KAWASAKI,45:04:045,153.796
2007,USA,11,5,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,45:07:701,153.588
2007,USA,12,4,56,Shinya NAKANO,JPN,Konica,Minolta Honda HONDA,45:13:173,153.278
2007,USA,13,3,50,Sylvain GUINTOLI,FRA,Dunlop Yamaha Tech 3,YAMAHA,45:18:735,152.965
2007,USA,14,2,7,Carlos CHECA,SPA,Honda,LCR HONDA,45:35:691,152.017
2007,USA,15,1,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,45:35:595,142.521
2007,QAT,1,25,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,43:02:788,164.975
2007,QAT,2,20,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,43:05:626,164.794
